ts,event,peer,peer_ip,system_id,bind_type,smpp_seq,src,dst,message,ngs_ok,ngs_http,call_id,call_status,call_status_code,note
2026-04-28T15:52:56.319120+00:00,ngs_callback,,,,,,,,,,,bb97e15a-68fa-4f3a-9a67-7cbb679e8c7a,Established,2,received
2026-04-28T15:53:11.880918+00:00,ngs_callback,,,,,,,,,,,bb97e15a-68fa-4f3a-9a67-7cbb679e8c7a,Disconnected,3,received
2026-04-28T15:53:11.881059+00:00,dlr_send,51.79.230.231:37428,51.79.230.231,system,,,1000,1012,,,,bb97e15a-68fa-4f3a-9a67-7cbb679e8c7a,DELIVRD,000,ok
2026-04-28T15:53:11.922436+00:00,unbind,51.79.230.231:37428,51.79.230.231,system,,5,,,,,,,,,
2026-04-28T15:53:11.923702+00:00,disconnect,51.79.230.231:37428,51.79.230.231,system,,,,,,,,,,,
2026-04-29T16:24:41.453678+00:00,connect,51.79.230.231:43234,51.79.230.231,,,,,,,,,,,,
2026-04-29T16:24:41.580457+00:00,bind,51.79.230.231:43234,51.79.230.231,system,TRX,1,,,,True,,,,,OK
2026-04-29T16:24:41.580878+00:00,submit_sm,51.79.230.231:43234,51.79.230.231,system,,2,1000,1012,G-241652 is your GOOGLE verification code. Don't share your code with anyone.,,,,,,registered_delivery=0x01
2026-04-29T16:24:42.368343+00:00,submit_sm_resp,51.79.230.231:43234,51.79.230.231,system,,2,1000,1012,,True,200,1e860134-d34e-485b-8a40-a05f7ef33fbd,,,ok
2026-04-29T16:24:42.399639+00:00,ngs_callback,,,,,,,,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,Dialing,0,received
2026-04-29T16:24:42.403121+00:00,ngs_callback,,,,,,,,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,Ringing,1,received
2026-04-29T16:24:42.403700+00:00,ngs_callback,,,,,,,,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,Ringing,1,received
2026-04-29T16:24:56.906994+00:00,ngs_callback,,,,,,,,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,Established,2,received
2026-04-29T16:25:12.414907+00:00,ngs_callback,,,,,,,,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,Disconnected,3,received
2026-04-29T16:25:12.415089+00:00,dlr_send,51.79.230.231:43234,51.79.230.231,system,,,1000,1012,,,,1e860134-d34e-485b-8a40-a05f7ef33fbd,DELIVRD,000,ok
2026-04-29T16:25:12.456424+00:00,unbind,51.79.230.231:43234,51.79.230.231,system,,6,,,,,,,,,
2026-04-29T16:25:12.458247+00:00,disconnect,51.79.230.231:43234,51.79.230.231,system,,,,,,,,,,,
